ticket_id,subject,body,customer_id,customer_tier,previous_ticket_count,product,source_channel,created_at,department,intent,urgency,refund,churn,escalation
BAL-A043,Annual billing question,Can you explain when the annual renewal will be charged and which features it covers?,CUS-B043,Standard,1,LayaDesk,Chat,2026-09-24T03:59:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A032,Annual billing question,Can you explain when the annual renewal will be billed and which features it covers?,CUS-B032,Standard,2,LayaDesk,Email,2026-09-24T05:16:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R008,Wrong currency,The invoice is in USD instead of EUR. Our finance team cannot process it before Friday.,CUS-0071,Pro,3,LayaDesk,Email,2026-09-23T08:03:00+00:00,Billing,Payment Problem,High,False,False,False
BAL-R036,Contract deadline,We need a signed quote by Friday or procurement cannot approve this quarter.,CUS-0044,Pro,0,LayaDesk,Email,2026-09-22T19:42:00+00:00,Sales,Sales Inquiry,High,False,False,False
BAL-A055,Annual billing question,Can you explain when the annual renewal will be invoiced and which features it covers?,CUS-B055,Standard,1,LayaDesk,Chat,2026-09-24T02:35:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A016,Annual renewal billing,Can you explain when the annual renewal will be billed and what it covers?,CUS-B016,Standard,1,LayaDesk,Chat,2026-09-24T07:08:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R035,Security questionnaire,"Before buying, procurement needs your security questionnaire and compliance details.",CUS-0027,Standard,5,LayaDesk,Chat,2026-09-22T19:55:00+00:00,Sales,Sales Inquiry,Medium,False,False,False
BAL-R029,Delete old workspace,How do I close an unused workspace after exporting the data?,CUS-0004,Standard,1,LayaDesk,Web,2026-09-22T23:23:00+00:00,Account Support,Account Change,Low,False,False,False
BAL-R041,Getting started guide,Where can I find a beginner guide for setting up my first support queue?,CUS-0050,Pro,3,LayaDesk,Email,2026-09-22T16:27:00+00:00,General Support,Product Question,Low,False,False,False
BAL-A026,Annual renewal billing,"What date will the annual renewal be billed, and what does the charge cover?",CUS-B026,Standard,2,LayaDesk,Email,2026-09-24T05:58:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A014,Annual billing question,Can you explain when the annual renewal will be billed and what it covers for our team?,CUS-B014,Standard,2,LayaDesk,Email,2026-09-24T07:22:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-A046,Annual billing question,Can you explain when the annual renewal will be charged and what the renewal includes?,CUS-B046,Standard,1,LayaDesk,Chat,2026-09-24T03:38:00+00:00,Billing,Payment Problem,Medium,False,False,False
